recommend-TRANSE-fold0/ml-sun_cv_oKG	382	1614196345	1614196727
recommend-TRANSH-fold0/ml-sun_cv_oKG	470	1614196727	1614197197
recommend-BPRMF-fold0/ml-sun_cv_oKG	376	1614197197	1614197573
recommend-TRANSUP-fold0/ml-sun_cv_oKG	1304	1614197573	1614198877
recommend-KTUP-fold0/ml-sun_cv_oKG	2773	1614198877	1614201650
recommend-TRANSE-fold0/ml-sun_cv_sKG_ig-sv-complex-25	354	1614201650	1614202004
recommend-TRANSH-fold0/ml-sun_cv_sKG_ig-sv-complex-25	424	1614202004	1614202428
recommend-KTUP-fold0/ml-sun_cv_sKG_ig-sv-complex-25	2624	1614202428	1614205052
recommend-TRANSE-fold1/ml-sun_cv_oKG	392	1614205053	1614205445
recommend-TRANSH-fold1/ml-sun_cv_oKG	469	1614205445	1614205914
recommend-BPRMF-fold1/ml-sun_cv_oKG	363	1614205914	1614206277
recommend-TRANSUP-fold1/ml-sun_cv_oKG	1072	1614206277	1614207349
recommend-KTUP-fold1/ml-sun_cv_oKG	2806	1614207349	1614210155
recommend-TRANSE-fold1/ml-sun_cv_sKG_ig-sv-complex-25	368	1614210156	1614210524
recommend-TRANSH-fold1/ml-sun_cv_sKG_ig-sv-complex-25	424	1614210524	1614210948
recommend-KTUP-fold1/ml-sun_cv_sKG_ig-sv-complex-25	2643	1614210948	1614213591
recommend-TRANSE-fold2/ml-sun_cv_oKG	386	1614213591	1614213977
recommend-TRANSH-fold2/ml-sun_cv_oKG	471	1614213977	1614214448
recommend-BPRMF-fold2/ml-sun_cv_oKG	364	1614214448	1614214812
recommend-TRANSUP-fold2/ml-sun_cv_oKG	1038	1614214812	1614215850
recommend-KTUP-fold2/ml-sun_cv_oKG	2712	1614215850	1614218562
recommend-TRANSE-fold2/ml-sun_cv_sKG_ig-sv-complex-25	357	1614218562	1614218919
recommend-TRANSH-fold2/ml-sun_cv_sKG_ig-sv-complex-25	424	1614218919	1614219343
recommend-KTUP-fold2/ml-sun_cv_sKG_ig-sv-complex-25	2636	1614219343	1614221979
recommend-TRANSE-fold3/ml-sun_cv_oKG	386	1614221979	1614222365
recommend-TRANSH-fold3/ml-sun_cv_oKG	484	1614222365	1614222849
recommend-BPRMF-fold3/ml-sun_cv_oKG	360	1614222849	1614223209
recommend-TRANSUP-fold3/ml-sun_cv_oKG	1199	1614223209	1614224408
recommend-KTUP-fold3/ml-sun_cv_oKG	2813	1614224408	1614227221
recommend-TRANSE-fold3/ml-sun_cv_sKG_ig-sv-complex-25	363	1614227221	1614227584
recommend-TRANSH-fold3/ml-sun_cv_sKG_ig-sv-complex-25	429	1614227584	1614228013
recommend-KTUP-fold3/ml-sun_cv_sKG_ig-sv-complex-25	2653	1614228013	1614230666
recommend-TRANSE-fold4/ml-sun_cv_oKG	395	1614230666	1614231061
recommend-TRANSH-fold4/ml-sun_cv_oKG	478	1614231061	1614231539
recommend-BPRMF-fold4/ml-sun_cv_oKG	370	1614231539	1614231909
recommend-TRANSUP-fold4/ml-sun_cv_oKG	1045	1614231909	1614232954
recommend-KTUP-fold4/ml-sun_cv_oKG	2723	1614232954	1614235677
recommend-TRANSE-fold4/ml-sun_cv_sKG_ig-sv-complex-25	361	1614235677	1614236038
recommend-TRANSH-fold4/ml-sun_cv_sKG_ig-sv-complex-25	428	1614236038	1614236466
recommend-KTUP-fold4/ml-sun_cv_sKG_ig-sv-complex-25	2572	1614236466	1614239038
recommend-TRANSE-fold0/ml-sun_cv_sKG_ig-mv-complex-25	358	1614253925	1614254283
recommend-TRANSH-fold0/ml-sun_cv_sKG_ig-mv-complex-25	418	1614254283	1614254701
recommend-KTUP-fold0/ml-sun_cv_sKG_ig-mv-complex-25	2643	1614254701	1614257344
recommend-TRANSE-fold0/ml-sun_cv_sKG_ig-sv-complex-50	381	1614257345	1614257726
